Pull,Path,Diff_hunk,Comment
37,src/main/org/apache/tools/ant/util/ResourceUtils.java,"@@ -666,6 +666,14 @@ private static void copyWithFilterSets(final Resource source, final Resource des
                                            final String outputEncoding,
                                            final Project project)
         throws IOException {
+        if (source instanceof FileResource && dest instanceof FileResource) {","[{'comment': ""I think it would be better to use `FileProvider` rather than `FileResource` here (and in the next blocks). Actually I'd probably move the `instanceof` checks into `areSame` (and replace them with `resource.as(FileProvider.class)` there. This allows for other resources that know they are working on files and removes at least one line of duplicate code per `if` block :-)"", 'commenter': 'bodewig'}, {'comment': 'That makes sense. I have changed it to follow your suggestion and updated this PR. I am going to run this against both windows on linux, through a Jenkins job, before merging this.', 'commenter': 'jaikiran'}]"
162,src/main/org/apache/tools/ant/taskdefs/email/MimeMailer.java,"@@ -294,7 +294,7 @@ public void send() {
                 ? new InternetAddress(addr.getAddress())
                 : new InternetAddress(addr.getAddress(), name));
         }
-        return addrs.toArray(new InternetAddress[addrs.size()]);
+        return addrs.toArray(new InternetAddress[0]);","[{'comment': 'seems to belong to a separate PR', 'commenter': 'bodewig'}, {'comment': 'Hi @bodewig \r\nReverted.\r\nTY', 'commenter': 'arturobernalg'}]"
165,src/main/org/apache/tools/ant/Project.java,"@@ -1831,7 +1831,7 @@ public static Project getProject(final Object o) {
             final String st = state.get(root);
             if (st == null) {
                 tsort(root, targetTable, state, visiting, ret);
-            } else if (st == VISITING) {
+            } else if (st.equals(VISITING)) {","[{'comment': 'the == check is correct as we set the value ourselves and really are nt interested in ""visiting"" states set in any other way.', 'commenter': 'bodewig'}]"
165,src/main/org/apache/tools/ant/taskdefs/PathConvert.java,"@@ -420,7 +420,7 @@ private String mapElement(String elem) {
             // Note I'm using ""!="" to see if we got a new object back from
             // the apply method.
 
-            if (newElem != elem) {
+            if (!newElem.equals(elem)) {","[{'comment': 'have you seen the comment above that line?', 'commenter': 'bodewig'}]"
